Start ROI Name: _Z16parsec_roi_beginv
0x559063999513: Read Addr:  0x7ffc39c09ba8 Phase: _Z16parsec_roi_beginv
0x559063999b78: Write Addr:  0x7ffc39c09ba8 Phase: main
0x55906399a4aa: Write Addr:  0x7ffc39c09ba0 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4ae: Write Addr:  0x7ffc39c09b98 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4b0: Write Addr:  0x7ffc39c09b90 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4b2: Write Addr:  0x7ffc39c09b88 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4b7: Write Addr:  0x7ffc39c09b68 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4bb: Write Addr:  0x7ffc39c09b60 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4bf: Read Addr:  0x7f15b40f1128 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4c8: Write Addr:  0x7ffc39c09b78 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4ce: Read Addr:  0x7ffc39c09b68 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4d2: Read Addr:  0x7ffc39c09b60 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399a4d9: Write Addr:  0x7ffc39c09b58 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399b288: Write Addr:  0x7ffc39c09b50 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55906399b28c: Write Addr:  0x7ffc39c09b48 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55906399b290: Read Addr:  0x7ffc39c09b48 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55906399b294: Read Addr:  0x7ffc39c09b50 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55906399b295: Read Addr:  0x7ffc39c09b58 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55906399a4eb: Write Addr:  0x7ffc39c09b58 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55906399b238: Write Addr:  0x7ffc39c09b50 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55906399b240: Write Addr:  0x7ffc39c09b38 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55906399b244: Write Addr:  0x7ffc39c09b30 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55906399b248: Read Addr:  0x7f15b40f1128 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55906399b251: Write Addr:  0x7ffc39c09b48 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55906399b257: Read Addr:  0x7ffc39c09b38 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55906399b25b: Read Addr:  0x7ffc39c09b30 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55906399b265: Write Addr:  0x7ffc39c09b28 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55906399bba9: Write Addr:  0x7ffc39c09b20 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399bbb1: Write Addr:  0x7ffc39c09b18 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399bbb5: Write Addr:  0x7ffc39c09b10 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399bbb9: Read Addr:  0x7ffc39c09b10 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399bbbd: Read Addr:  0x7ffc39c09b18 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399bbc7: Write Addr:  0x7ffc39c09b08 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399ae5c: Write Addr:  0x7ffc39c09b00 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55906399ae64: Write Addr:  0x7ffc39c09af8 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55906399ae68: Write Addr:  0x7ffc39c09af0 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55906399ae6c: Read Addr:  0x7ffc39c09af0 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55906399ae70: Read Addr:  0x7ffc39c09af8 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55906399ae7a: Write Addr:  0x7ffc39c09ae8 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55906399b8dc: Write Addr:  0x7ffc39c09ae0 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55906399b8e0: Write Addr:  0x7ffc39c09ad8 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55906399b8e4: Write Addr:  0x7ffc39c09ad0 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55906399b8e9: Read Addr:  0x7ffc39c09ae0 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55906399b8ea: Read Addr:  0x7ffc39c09ae8 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55906399ae80: Read Addr:  0x7ffc39c09b00 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55906399ae81: Read Addr:  0x7ffc39c09b08 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55906399bbcc: Read Addr:  0x7ffc39c09b18 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399bbd0: Read Addr:  0x7ffc39c09b20 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399bbd1: Read Addr:  0x7ffc39c09b28 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55906399b26a: Read Addr:  0x7ffc39c09b48 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
